# Amplitude1 Amplitude2 Frequency logL logPrior
1.869825414517891460e+01 1.404715634469845575e+01 7.110207117836830903e+00 5.964690503656414803e+05 0.000000000000000000e+00
1.986795626001593718e+01 1.172673054983806651e+01 7.114156838006497452e+00 5.965850792231525993e+05 0.000000000000000000e+00
1.214907551080621317e+01 1.920985952793485296e+01 5.120309753979559453e+00 5.966242137408429990e+05 0.000000000000000000e+00
1.712866945124851625e+01 1.525212877135465028e+01 6.862783806839531486e+00 5.968270767240453279e+05 0.000000000000000000e+00
1.707661088828210083e+01 1.496535622585462555e+01 9.296882216649471786e+00 5.969023971111614956e+05 0.000000000000000000e+00
1.893116838915689115e+01 1.054698327197842644e+01 6.958957445139447806e+00 5.969454492573975585e+05 0.000000000000000000e+00
1.702511854413259229e+01 1.469416055933018228e+01 8.366138707373186989e+00 5.973029270840372192e+05 0.000000000000000000e+00
1.266670568649684014e+01 1.856342228541934603e+01 5.149360029283233331e+00 5.975025374556654133e+05 0.000000000000000000e+00
1.080676094279361976e+01 1.982470379412766093e+01 9.428415084768221988e+00 5.975365327812258620e+05 0.000000000000000000e+00
1.979986769191053497e+01 1.148443807889811197e+01 5.789154600509954562e+00 5.975534833009045105e+05 0.000000000000000000e+00
1.510320729820594821e+01 1.729770952139333673e+01 6.552109049570824517e+00 5.976545766998786712e+05 0.000000000000000000e+00
1.333369983738836773e+01 1.854346722929795277e+01 6.743992798915424025e+00 5.976714346379867056e+05 0.000000000000000000e+00
1.563303779787415060e+01 1.637345562452553693e+01 5.463282653609751627e+00 5.979010167480648961e+05 0.000000000000000000e+00
1.656655664929501270e+01 1.528936702132185843e+01 9.257605140081105688e+00 5.979417080957316794e+05 0.000000000000000000e+00
1.738583101487422766e+01 1.437411012259803833e+01 6.387011743004182840e+00 5.979687881974284537e+05 0.000000000000000000e+00
1.739840265881673531e+01 1.410327265131305019e+01 8.166756839111238619e+00 5.980286222254588502e+05 0.000000000000000000e+00
1.135547155919672413e+01 1.982772736507028810e+01 9.356520029526137705e+00 5.980753687588627217e+05 0.000000000000000000e+00
1.842546253851762827e+01 1.199494038247874528e+01 6.251703190882301975e+00 5.982197093029174721e+05 0.000000000000000000e+00
1.324973668173547736e+01 1.957110276188317499e+01 7.046669316080723888e+00 5.982591346527356654e+05 0.000000000000000000e+00
1.615916611436572126e+01 1.594324371460355039e+01 9.520044596732876840e+00 5.982844008980597137e+05 0.000000000000000000e+00
9.750585648889686041e+00 1.745720795330782948e+01 7.412179109932155896e+00 5.983075034591224976e+05 0.000000000000000000e+00
1.602936514737559293e+01 1.639579055830571619e+01 9.006950765248063817e+00 5.983295053113626782e+05 0.000000000000000000e+00
1.908404777857868595e+01 1.246262721700277787e+01 9.761425996795733084e+00 5.984080123665936990e+05 0.000000000000000000e+00
1.889553172295827466e+01 1.148843529909892958e+01 5.915761703965375595e+00 5.984139065516757546e+05 0.000000000000000000e+00
1.294130314271184368e+01 1.909899744989570536e+01 7.923701766063515173e+00 5.985382610980416648e+05 0.000000000000000000e+00
1.570707981265643127e+01 5.873834024635923079e+00 7.205315984804877338e+00 5.985675345251093386e+05 0.000000000000000000e+00
6.889539839360894646e+00 1.948395901656876816e+01 7.462692149682899512e+00 5.985742609269440873e+05 0.000000000000000000e+00
1.490683570984425899e+01 1.704142455375463427e+01 5.946724617677651814e+00 5.985952890623178100e+05 0.000000000000000000e+00
1.224481994608158963e+01 1.870193751668486470e+01 9.472313394624277905e+00 5.986584734264236176e+05 0.000000000000000000e+00
1.716473480047940825e+01 1.430399778922012644e+01 5.306866448976023776e+00 5.986590106817906490e+05 0.000000000000000000e+00
1.033643822484929231e+01 1.978337384443069880e+01 8.748444920114030410e+00 5.987825771746442188e+05 0.000000000000000000e+00
1.358338327477047969e+01 1.719544503377777289e+01 6.769592944646437793e+00 5.988044886613619747e+05 0.000000000000000000e+00
1.374148823480596526e+01 1.884226535655232482e+01 6.872323124388907800e+00 5.988196789121443871e+05 0.000000000000000000e+00
1.997360973291761255e+01 9.263514617239025029e+00 5.704873582725799253e+00 5.988897043742960086e+05 0.000000000000000000e+00
1.129630313405468200e+01 1.952215941334043592e+01 9.145047436434587951e+00 5.989331999598034890e+05 0.000000000000000000e+00
1.761109824270918267e+01 1.430416849317929007e+01 5.790930929139009642e+00 5.990923645460332045e+05 0.000000000000000000e+00
1.695744642950196024e+01 1.235490402452621694e+01 7.433422402816119323e+00 5.992180626693554223e+05 0.000000000000000000e+00
1.797038667681981394e+01 1.373710554126459726e+01 6.507290933644289233e+00 5.992312011656988179e+05 0.000000000000000000e+00
1.106182980432433283e+01 1.884146954579914990e+01 6.636135192543623162e+00 5.994001273250741651e+05 0.000000000000000000e+00
1.943811823703611097e+01 1.036682057815151481e+01 5.165756839188997418e+00 5.994962473958422197e+05 0.000000000000000000e+00
1.277278845633980531e+01 1.629903212063718243e+01 6.991172438639573272e+00 5.995609266147197923e+05 0.000000000000000000e+00
1.966897468672149074e+01 1.052802957471312340e+01 8.898386384004586702e+00 5.996428855619487585e+05 0.000000000000000000e+00
1.134524500831116356e+01 1.928024696008995420e+01 9.327016750052134597e+00 5.997970583671892527e+05 0.000000000000000000e+00
1.941170935022545763e+01 1.057486340053853446e+01 8.195823762012018676e+00 5.999103661892625969e+05 0.000000000000000000e+00
1.593468538604586549e+01 1.534670720490314544e+01 9.285964827865210935e+00 6.000161163024201524e+05 0.000000000000000000e+00
1.759354484246441785e+01 1.378932899726517824e+01 8.775478940232806835e+00 6.001277170590960886e+05 0.000000000000000000e+00
1.895348959591503757e+01 1.140376137377322507e+01 9.285897734882448518e+00 6.003180545200890629e+05 0.000000000000000000e+00
1.593008203246225030e+01 1.532235657286489428e+01 9.655274055490297158e+00 6.004510700245123589e+05 0.000000000000000000e+00
1.529742867113613691e+01 1.589206387123492981e+01 9.471916723100386903e+00 6.004857029132255120e+05 0.000000000000000000e+00
1.972584329239589351e+01 1.061589758444826970e+01 9.409174118898459227e+00 6.005412653892247472e+05 0.000000000000000000e+00
1.887851636280273837e+01 1.132633016999474584e+01 7.981814742736892399e+00 6.006000666082326788e+05 0.000000000000000000e+00
1.630955267438307743e+01 1.468025538379328410e+01 6.574999989106157017e+00 6.006724281895180466e+05 0.000000000000000000e+00
1.550177006035471550e+01 1.557978603657754313e+01 8.570992639511887390e+00 6.007669224391388707e+05 0.000000000000000000e+00
1.894169265926548107e+01 1.227072293947828108e+01 8.836235717860001060e+00 6.008353596805935958e+05 0.000000000000000000e+00
1.890731015689731009e+01 1.056731106650510021e+01 5.721774461600577233e+00 6.008579378596112365e+05 0.000000000000000000e+00
1.585025654483384727e+01 1.512177051039611797e+01 5.374100979278759738e+00 6.009258255190957570e+05 0.000000000000000000e+00
1.564913953493227261e+01 1.536205628665824463e+01 5.189653057646792078e+00 6.009372494125172962e+05 0.000000000000000000e+00
1.020163468508795290e+01 1.945211645310207516e+01 7.663676331486910520e+00 6.009491240113637177e+05 0.000000000000000000e+00
1.198373756840952709e+01 1.849042430977593554e+01 8.399015128543778630e+00 6.011455507091045147e+05 0.000000000000000000e+00
1.553567531085576192e+01 1.546709131885222810e+01 5.846302208128521194e+00 6.011804432349477429e+05 0.000000000000000000e+00
1.076879886728005253e+01 1.952195381252493078e+01 8.606793596558045323e+00 6.012571239219621057e+05 0.000000000000000000e+00
1.977293108560156298e+01 8.557606330740147982e+00 5.886935105373816590e+00 6.013769378635984613e+05 0.000000000000000000e+00
1.617952630729002195e+01 1.446860502350510735e+01 6.579615130941101953e+00 6.014246184594454244e+05 0.000000000000000000e+00
1.270528046221023644e+01 1.861598525202306575e+01 6.861807156451131817e+00 6.017044510417368729e+05 0.000000000000000000e+00
